"Charge_Type";"Charge_Date";"Day_Type";"PEV_Code";"Charge_Duration";"Start_Time";"Stop_Time";"Time_Zone";"KWh";"Spans_Zones";"Noise"
"L1";"7/1/2010";"Weekday";"H007.V009";5;"17:00";"17:40";"Peak";1,6;FALSE;0
"L1";"7/1/2010";"Weekday";"H007.V009";4;"21:20";"21:50";"Shoulder 2";1,28;TRUE;0
"L1";"7/1/2010";"Weekday";"H007.V009";1;"22:00";"22:00";"Off-Peak";0,32;TRUE;0
"L1";"8/1/2010";"Weekday";"H007.V009";5;"19:00";"19:40";"Peak";1,6;FALSE;0
"L1";"5/1/2010";"Weekday";"H008.V010";9;"11:20";"12:40";"Shoulder 1";2,88;FALSE;0
"L1";"5/1/2010";"Weekday";"H008.V010";2;"19:40";"19:50";"Peak";0,64;TRUE;0
"L1";"5/1/2010";"Weekday";"H008.V010";3;"20:00";"20:20";"Shoulder 2";0,96;TRUE;0
"L1";"6/1/2010";"Weekday";"H008.V010";5;"12:00";"12:40";"Shoulder 1";1,6;FALSE;0
"L1";"6/1/2010";"Weekday";"H008.V010";2;"22:30";"22:40";"Off-Peak";0,64;FALSE;0
"L1";"7/1/2010";"Weekday";"H008.V010";2;"12:20";"12:30";"Shoulder 1";0,64;FALSE;0
"L1";"7/1/2010";"Weekday";"H008.V010";6;"18:50";"19:40";"Peak";1,92;FALSE;0
"L1";"8/1/2010";"Weekday";"H008.V010";2;"10:50";"11:00";"Shoulder 1";0,64;FALSE;0
"L1";"4/1/2010";"Weekday";"H008.V011";5;"11:10";"11:50";"Shoulder 1";1,6;FALSE;0
"L1";"4/1/2010";"Weekday";"H008.V011";8;"12:40";"13:50";"Shoulder 1";2,56;TRUE;0
"L1";"4/1/2010";"Weekday";"H008.V011";4;"14:00";"14:30";"Peak";1,28;TRUE;0
"L1";"4/1/2010";"Weekday";"H008.V011";19;"15:00";"18:00";"Peak";6,08;FALSE;0
"L1";"4/1/2010";"Weekday";"H008.V011";8;"20:40";"21:50";"Shoulder 2";2,56;TRUE;0
"L1";"4/1/2010";"Weekday";"H008.V011";48;"22:00";"5:50";"Off-Peak";15,36;TRUE;0
"L1";"5/1/2010";"Weekday";"H008.V011";20;"10:40";"13:50";"Shoulder 1";6,4;TRUE;0
"L1";"5/1/2010";"Weekday";"H008.V011";14;"14:00";"16:10";"Peak";4,48;TRUE;0
"L1";"5/1/2010";"Weekday";"H008.V011";14;"17:40";"19:50";"Peak";4,48;TRUE;0
"L1";"5/1/2010";"Weekday";"H008.V011";12;"20:00";"21:50";"Shoulder 2";3,84;TRUE;0
"L1";"5/1/2010";"Weekday";"H008.V011";30;"22:00";"2:50";"Off-Peak";9,6;TRUE;0
"L1";"6/1/2010";"Weekday";"H008.V011";10;"7:50";"9:20";"Shoulder 1";3,2;FALSE;0
"L1";"6/1/2010";"Weekday";"H008.V011";8;"20:30";"21:40";"Shoulder 2";2,56;FALSE;0
"L1";"7/1/2010";"Weekday";"H008.V011";1;"6:00";"6:00";"Off-Peak";0,32;FALSE;0
"L1";"7/1/2010";"Weekday";"H008.V011";12;"8:10";"10:00";"Shoulder 1";3,84;FALSE;0
"L1";"7/1/2010";"Weekday";"H008.V011";3;"11:20";"11:40";"Shoulder 1";0,96;FALSE;0
"L1";"7/1/2010";"Weekday";"H008.V011";10;"12:20";"13:50";"Shoulder 1";3,2;TRUE;0
"L1";"7/1/2010";"Weekday";"H008.V011";13;"14:00";"16:00";"Peak";4,16;TRUE;0
"L1";"7/1/2010";"Weekday";"H008.V011";3;"20:30";"20:50";"Shoulder 2";0,96;FALSE;0
"L1";"8/1/2010";"Weekday";"H008.V011";7;"10:40";"11:40";"Shoulder 1";2,24;FALSE;0
"L1";"8/1/2010";"Weekday";"H008.V011";5;"13:10";"13:50";"Shoulder 1";1,6;TRUE;0
"L1";"8/1/2010";"Weekday";"H008.V011";36;"14:00";"19:50";"Peak";11,52;TRUE;0
"L1";"8/1/2010";"Weekday";"H008.V011";12;"20:00";"21:50";"Shoulder 2";3,84;TRUE;0
"L1";"8/1/2010";"Weekday";"H008.V011";3;"22:00";"22:20";"Off-Peak";0,96;TRUE;0
"L1";"4/1/2010";"Weekday";"H009.V012";1;"8:30";"8:30";"Shoulder 1";0,32;FALSE;0
"L1";"4/1/2010";"Weekday";"H009.V012";2;"14:20";"14:30";"Peak";0,64;FALSE;0
"L1";"4/1/2010";"Weekday";"H009.V012";4;"16:20";"16:50";"Peak";1,28;FALSE;0
"L1";"5/1/2010";"Weekday";"H009.V012";7;"9:00";"10:00";"Shoulder 1";2,24;FALSE;0
"L1";"5/1/2010";"Weekday";"H009.V012";1;"18:00";"18:00";"Peak";0,32;FALSE;0
"L1";"5/1/2010";"Weekday";"H009.V012";1;"18:30";"18:30";"Peak";0,32;FALSE;0
"L1";"5/1/2010";"Weekday";"H009.V012";2;"19:40";"19:50";"Peak";0,64;TRUE;0
"L1";"5/1/2010";"Weekday";"H009.V012";6;"20:00";"20:50";"Shoulder 2";1,92;TRUE;0
"L1";"6/1/2010";"Weekday";"H009.V012";14;"17:40";"19:50";"Peak";4,48;FALSE;0
"L1";"7/1/2010";"Weekday";"H009.V012";6;"8:20";"9:10";"Shoulder 1";1,92;FALSE;0
"L1";"7/1/2010";"Weekday";"H009.V012";1;"14:30";"14:30";"Peak";0,32;FALSE;0
"L1";"8/1/2010";"Weekday";"H009.V012";5;"7:50";"8:30";"Shoulder 1";1,6;FALSE;0
"L1";"8/1/2010";"Weekday";"H009.V012";2;"9:30";"9:40";"Shoulder 1";0,64;FALSE;0
"L1";"8/1/2010";"Weekday";"H009.V012";4;"15:20";"15:50";"Peak";1,28;FALSE;0
"L1";"4/1/2010";"Weekday";"H010.V013";4;"3:40";"4:10";"Off-Peak";1,28;FALSE;0
"L1";"4/1/2010";"Weekday";"H010.V013";3;"12:00";"12:20";"Shoulder 1";0,96;FALSE;0
"L1";"4/1/2010";"Weekday";"H010.V013";1;"13:10";"13:10";"Shoulder 1";0,32;FALSE;0
"L1";"5/1/2010";"Weekday";"H010.V013";7;"0:30";"1:30";"Off-Peak";2,24;FALSE;0
"L1";"5/1/2010";"Weekday";"H010.V013";4;"21:20";"21:50";"Shoulder 2";1,28;TRUE;0
"L1";"5/1/2010";"Weekday";"H010.V013";4;"22:00";"22:30";"Off-Peak";1,28;TRUE;0
"L1";"6/1/2010";"Weekday";"H010.V013";1;"4:00";"4:00";"Off-Peak";0,32;FALSE;0
"L1";"6/1/2010";"Weekday";"H010.V013";3;"4:40";"5:00";"Off-Peak";0,96;FALSE;0
"L1";"6/1/2010";"Weekday";"H010.V013";4;"9:50";"10:20";"Shoulder 1";1,28;FALSE;0
"L1";"6/1/2010";"Weekday";"H010.V013";3;"11:40";"12:00";"Shoulder 1";0,96;FALSE;0
"L1";"6/1/2010";"Weekday";"H010.V013";10;"14:20";"15:50";"Peak";3,2;FALSE;0
"L1";"8/1/2010";"Weekday";"H010.V013";2;"8:00";"8:10";"Shoulder 1";0,64;FALSE;0
"L1";"8/1/2010";"Weekday";"H010.V013";6;"8:40";"9:30";"Shoulder 1";1,92;FALSE;0
"L1";"8/1/2010";"Weekday";"H010.V013";4;"15:20";"15:50";"Peak";1,28;FALSE;0
"L1";"4/1/2010";"Weekday";"H010.V014";2;"3:00";"3:10";"Off-Peak";0,64;FALSE;0
"L1";"4/1/2010";"Weekday";"H010.V014";6;"17:30";"18:20";"Peak";1,92;FALSE;0
