"Charge_Type";"Date";"HV_Code";"Charge_Duration";"Start_Time";"Stop_Time";"Time_Zone";"DayType";"KWh";"Splits";"Noise"
"L1";"5/1/2010";"H007.V009";2;"21:30";"21:40";"Shoulder 2";"W";0,64;FALSE;0
"L1";"6/1/2010";"H007.V009";1;"6:40";"6:40";"Off Peak";"W";0,32;FALSE;0
"L1";"6/1/2010";"H007.V009";23;"15:20";"19:00";"Peak";"W";7,36;FALSE;0
"L1";"7/1/2010";"H007.V009";5;"20:30";"21:10";"Shoulder 2";"W";1,6;FALSE;0
"L1";"7/1/2010";"H007.V009";4;"21:20";"21:50";"Shoulder 2";"W";1,28;TRUE;0
"L1";"7/1/2010";"H007.V009";1;"22:00";"22:00";"Off Peak";"W";0,32;TRUE;0
"L1";"8/1/2010";"H007.V009";5;"19:00";"19:40";"Peak";"W";1,6;FALSE;0
"L1";"5/1/2010";"H008.V010";9;"11:20";"12:40";"Shoulder 1";"W";2,88;FALSE;0
"L1";"5/1/2010";"H008.V010";2;"19:40";"19:50";"Peak";"W";0,64;TRUE;0
"L1";"5/1/2010";"H008.V010";3;"20:00";"20:20";"Shoulder 2";"W";0,96;TRUE;0
"L1";"6/1/2010";"H008.V010";5;"4:40";"5:20";"Off Peak";"W";1,6;FALSE;0
"L1";"6/1/2010";"H008.V010";2;"22:30";"22:40";"Off Peak";"W";0,64;FALSE;0
"L1";"7/1/2010";"H008.V010";6;"1:30";"2:20";"Off Peak";"W";1,92;FALSE;0
"L1";"7/1/2010";"H008.V010";2;"23:40";"23:50";"Off Peak";"W";0,64;FALSE;0
"L1";"8/1/2010";"H008.V010";2;"10:50";"11:00";"Shoulder 1";"W";0,64;FALSE;0
"L1";"4/1/2010";"H008.V011";5;"11:10";"11:50";"Shoulder 1";"W";1,6;FALSE;0
"L1";"4/1/2010";"H008.V011";8;"12:40";"13:50";"Shoulder 1";"W";2,56;TRUE;0
"L1";"4/1/2010";"H008.V011";4;"14:00";"14:30";"Peak";"W";1,28;TRUE;0
"L1";"4/1/2010";"H008.V011";8;"20:40";"21:50";"Shoulder 2";"W";2,56;TRUE;0
"L1";"4/1/2010";"H008.V011";48;"22:00";"5:50";"Off Peak";"W";15,36;TRUE;0
"L1";"4/1/2010";"H008.V011";19;"22:50";"1:50";"Off Peak";"W";6,08;FALSE;9,92
"L1";"5/1/2010";"H008.V011";20;"10:40";"13:50";"Shoulder 1";"W";6,4;TRUE;0
"L1";"5/1/2010";"H008.V011";14;"14:00";"16:10";"Peak";"W";4,48;TRUE;0
"L1";"5/1/2010";"H008.V011";14;"17:40";"19:50";"Peak";"W";4,48;TRUE;0
"L1";"5/1/2010";"H008.V011";12;"20:00";"21:50";"Shoulder 2";"W";3,84;TRUE;0
"L1";"5/1/2010";"H008.V011";30;"22:00";"2:50";"Off Peak";"W";9,6;TRUE;0
"L1";"6/1/2010";"H008.V011";8;"2:20";"3:30";"Off Peak";"W";2,56;FALSE;0
"L1";"6/1/2010";"H008.V011";10;"20:20";"21:50";"Shoulder 2";"W";3,2;FALSE;2,56
"L1";"7/1/2010";"H008.V011";1;"6:00";"6:00";"Off Peak";"W";0,32;FALSE;0
"L1";"7/1/2010";"H008.V011";12;"8:10";"10:00";"Shoulder 1";"W";3,84;FALSE;0
"L1";"7/1/2010";"H008.V011";10;"12:20";"13:50";"Shoulder 1";"W";3,2;TRUE;0
"L1";"7/1/2010";"H008.V011";13;"14:00";"16:00";"Peak";"W";4,16;TRUE;0
"L1";"7/1/2010";"H008.V011";3;"20:30";"20:50";"Shoulder 2";"W";0,96;FALSE;0
"L1";"7/1/2010";"H008.V011";3;"21:20";"21:40";"Shoulder 2";"W";0,96;FALSE;0
"L1";"8/1/2010";"H008.V011";7;"10:40";"11:40";"Shoulder 1";"W";2,24;FALSE;0
"L1";"8/1/2010";"H008.V011";5;"13:10";"13:50";"Shoulder 1";"W";1,6;TRUE;0
"L1";"8/1/2010";"H008.V011";36;"14:00";"19:50";"Peak";"W";11,52;TRUE;0
"L1";"8/1/2010";"H008.V011";12;"20:00";"21:50";"Shoulder 2";"W";3,84;TRUE;0
"L1";"8/1/2010";"H008.V011";3;"22:00";"22:20";"Off Peak";"W";0,96;TRUE;0
"L1";"4/1/2010";"H009.V012";1;"0:40";"0:40";"Off Peak";"W";0,32;FALSE;0
"L1";"4/1/2010";"H009.V012";2;"7:30";"7:40";"Shoulder 1";"W";0,64;FALSE;0
"L1";"4/1/2010";"H009.V012";4;"16:20";"16:50";"Peak";"W";1,28;FALSE;0
"L1";"5/1/2010";"H009.V012";7;"9:00";"10:00";"Shoulder 1";"W";2,24;FALSE;0
"L1";"5/1/2010";"H009.V012";1;"18:30";"18:30";"Peak";"W";0,32;FALSE;0
"L1";"5/1/2010";"H009.V012";2;"19:40";"19:50";"Peak";"W";0,64;TRUE;0
"L1";"5/1/2010";"H009.V012";6;"20:00";"20:50";"Shoulder 2";"W";1,92;TRUE;0
"L1";"5/1/2010";"H009.V012";1;"23:20";"23:20";"Off Peak";"W";0,32;FALSE;0
"L1";"6/1/2010";"H009.V012";14;"22:50";"1:00";"Off Peak";"W";4,48;FALSE;0
"L1";"7/1/2010";"H009.V012";6;"8:20";"9:10";"Shoulder 1";"W";1,92;FALSE;0
"L1";"7/1/2010";"H009.V012";1;"14:30";"14:30";"Peak";"W";0,32;FALSE;0
"L1";"8/1/2010";"H009.V012";2;"4:30";"4:40";"Off Peak";"W";0,64;FALSE;0
"L1";"8/1/2010";"H009.V012";4;"4:50";"5:20";"Off Peak";"W";1,28;FALSE;0
"L1";"8/1/2010";"H009.V012";5;"7:50";"8:30";"Shoulder 1";"W";1,6;FALSE;0
"L1";"4/1/2010";"H010.V013";4;"3:40";"4:10";"Off Peak";"W";1,28;FALSE;0
"L1";"4/1/2010";"H010.V013";3;"12:00";"12:20";"Shoulder 1";"W";0,96;FALSE;0
"L1";"4/1/2010";"H010.V013";1;"13:10";"13:10";"Shoulder 1";"W";0,32;FALSE;0
"L1";"5/1/2010";"H010.V013";7;"0:30";"1:30";"Off Peak";"W";2,24;FALSE;0
"L1";"5/1/2010";"H010.V013";4;"21:20";"21:50";"Shoulder 2";"W";1,28;TRUE;0
"L1";"5/1/2010";"H010.V013";4;"22:00";"22:30";"Off Peak";"W";1,28;TRUE;0
"L1";"6/1/2010";"H010.V013";4;"0:30";"1:00";"Off Peak";"W";1,28;FALSE;0
